Fri Sep  1 19:50:04.981 UTC
RP/0/RP0/CPU0:Sep  1 16:17:07.607 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.13.24 Up (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Sep  1 16:17:08.784 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.14.26 Up (VRF: default) (AS: 65014) 
RP/0/RP0/CPU0:Sep  1 16:17:09.097 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1426 Up (VRF: default) (AS: 65014) 
RP/0/RP0/CPU0:Sep  1 16:17:11.331 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1324 Up (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Sep  1 16:17:13.669 : SSHD_[67848]: %SECURITY-SSHD-6-INFO_SUCCESS : Successfully authenticated user 'admin' from '10.200.96.148' on 'vty0'(cipher 'aes128-ctr', mac 'hmac-sha2-256') 
RP/0/RP0/CPU0:Sep  1 16:17:14.759 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.14.30 Up (VRF: default) (AS: 65014) 
RP/0/RP0/CPU0:Sep  1 16:17:15.797 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1430 Up (VRF: default) (AS: 65014) 
RP/0/RP0/CPU0:Sep  1 16:17:16.312 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.11.24 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Sep  1 16:17:16.312 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.11.26 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Sep  1 16:17:16.312 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.11.28 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Sep  1 16:17:16.312 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.11.30 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Sep  1 16:17:16.312 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.12.24 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Sep  1 16:17:16.312 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.12.26 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Sep  1 16:17:16.312 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.12.28 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Sep  1 16:17:16.312 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.12.30 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Sep  1 16:17:16.312 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.13.24 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Sep  1 16:17:16.312 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.13.26 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Sep  1 16:17:16.312 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.13.28 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Sep  1 16:17:16.312 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.13.30 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Sep  1 16:17:16.312 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.14.26 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 65014) 
RP/0/RP0/CPU0:Sep  1 16:17:16.313 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.14.28 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 65014) 
RP/0/RP0/CPU0:Sep  1 16:17:16.313 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.14.30 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 65014) 
