

Fri Aug  4 17:53:19.207 UTC
Syslog logging: enabled (0 messages dropped, 0 flushes, 0 overruns)
    Console logging: level warnings, 289 messages logged
    Monitor logging: level informational, 0 messages logged
    Trap logging: level informational, 0 messages logged
    Buffer logging: level debugging, 70 messages logged

Log Buffer (2097152 bytes):

RP/0/RP0/CPU0:Aug  4 17:41:18.426 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.12.26 Up (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Aug  4 17:41:32.383 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.13.24 Down - Peer closing down the session (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Aug  4 17:41:32.383 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.13.26 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Aug  4 17:41:32.383 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.13.30 Down - Peer closing down the session (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Aug  4 17:41:32.384 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.13.28 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Aug  4 17:41:32.397 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1324 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Aug  4 17:41:32.398 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1326 Down - Peer closing down the session (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Aug  4 17:41:32.398 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1328 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Aug  4 17:41:32.403 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1330 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Aug  4 17:42:01.489 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.13.28 Up (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Aug  4 17:42:01.701 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1326 Up (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Aug  4 17:42:02.113 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1330 Up (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Aug  4 17:42:03.778 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.13.30 Up (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Aug  4 17:42:03.802 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1324 Up (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Aug  4 17:42:03.918 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.13.24 Up (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Aug  4 17:42:16.508 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.13.26 Up (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Aug  4 17:42:18.229 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1328 Up (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Aug  4 17:51:37.814 : SSHD_[65753]: %SECURITY-SSHD-6-INFO_SUCCESS_COMMAND : Successfully authenticated user 'admin' from '10.200.96.148' on 'vty0'(cipher 'aes128-ctr', mac 'hmac-sha2-256', command 'show logging') 
RP/0/RP0/CPU0:Aug  4 17:51:38.291 : SSHD_[65753]: %SECURITY-SSHD-6-INFO_USER_LOGOUT : User 'admin' from '10.200.96.148' logged out on 'vty0' 
RP/0/RP0/CPU0:Aug  4 17:53:18.884 : SSHD_[65817]: %SECURITY-SSHD-6-INFO_SUCCESS_COMMAND : Successfully authenticated user 'admin' from '10.200.96.148' on 'vty0'(cipher 'aes128-ctr', mac 'hmac-sha2-256', command 'show logging') 
